Rank,Player,HoF Prob
1,LeBron James,1
2,Kevin Durant,1
3,Chris Paul,1
4,Stephen Curry,1
5,James Harden,0.9999
6,Russell Westbrook,0.9993
7,Anthony Davis,0.9906
8,Damian Lillard,0.9648
9,Giannis Antetokounmpo,0.9646
10,Paul George,0.9443
11,Kyrie Irving,0.9345
12,Nikola Joki?,0.9044
13,Kyle Lowry,0.8574
14,Kawhi Leonard,0.7824
15,Draymond Green,0.7682
16,Kevin Love,0.7347
17,Jimmy Butler,0.7298
18,Klay Thompson,0.7021
19,Blake Griffin,0.5481
20,Joel Embiid,0.4443
21,DeMar DeRozan,0.4359
22,John Wall,0.3239
23,Rudy Gobert,0.2596
24,Kemba Walker,0.151
25,Al Horford,0.1223
26,Derrick Rose,0.1052
27,Karl-Anthony Towns,0.0951
28,Jayson Tatum,0.0717
29,Donovan Mitchell,0.0534
30,Domantas Sabonis,0.0511
31,DeAndre Jordan,0.0374
32,Bradley Beal,0.0226
33,Khris Middleton,0.0173
34,Andre Drummond,0.0166
35,Nikola Vu?evi?,0.0114
36,Devin Booker,0.0094
37,Pascal Siakam,0.0082
38,Mike Conley,0.008
39,Jrue Holiday,0.0075
40,Victor Oladipo,0.0056
41,Fred VanVleet,0.0037
42,Julius Randle,0.0037
43,Goran Dragi?,0.0037
44,Danny Green,0.0037
45,Brook Lopez,0.0031
46,Bam Adebayo,0.0027
47,Gordon Hayward,0.0027
48,Zach LaVine,0.0025
49,Serge Ibaka,0.0019
50,Kevon Looney,0.0016
51,Dejounte Murray,0.0016
52,De'Aaron Fox,0.0014
53,Clint Capela,0.0013
54,JaVale McGee,0.0011
55,Jaylen Brown,0.0011
56,Otto Porter Jr.,0.001
57,Andrew Wiggins,0.001
58,George Hill,0.0009
59,Jarrett Allen,0.0009
60,Reggie Jackson,0.0009
61,Mikal Bridges,0.0008
62,Kentavious Caldwell-Pope,0.0008
63,Tristan Thompson,0.0007
64,Ricky Rubio,0.0007
65,CJ McCollum,0.0006
66,Patty Mills,0.0005
67,P.J. Tucker,0.0005
68,D'Angelo Russell,0.0005
69,Wesley Matthews,0.0004
70,Harrison Barnes,0.0004
71,Myles Turner,0.0004
72,Ish Smith,0.0004
73,Montrezl Harrell,0.0004
74,Jamal Murray,0.0004
75,Steven Adams,0.0004
76,Aaron Gordon,0.0003
77,Jeff Green,0.0003
78,Kristaps Porzi??is,0.0003
79,Terry Rozier,0.0003
80,Cory Joseph,0.0003
81,Norman Powell,0.0003
82,Jonas Valan?i?nas,0.0003
83,Robin Lopez,0.0003
84,Tyus Jones,0.0003
85,Nicolas Batum,0.0003
86,Markieff Morris,0.0003
87,Thaddeus Young,0.0003
88,Jae Crowder,0.0003
89,Derrick Favors,0.0003
90,T.J. McConnell,0.0003
91,Malcolm Brogdon,0.0003
92,Marcus Smart,0.0002
93,Bryn Forbes,0.0002
94,Brandon Ingram,0.0002
95,Jerami Grant,0.0002
96,Spencer Dinwiddie,0.0002
97,Tobias Harris,0.0002
98,Buddy Hield,0.0002
99,Dwight Powell,0.0002
100,Danilo Gallinari,0.0002
,,
,,
"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">Basketball-Reference.com</a>: <a href=""https://www.basketball-reference.com/leaders/hof_prob.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_active_hof_prob"">View Original Table</a><br>Generated 12/14/2023.",,
